GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,GNOTES,BK6001,BLG001,BLH001,BLI001,BLI002,BLI003,BLI004,BLI005,BLJ001,BLJ002,BLJ003,BLJ004,BLJ005,BLJ006,BLJ007,BLJ008,BLJ009,BLJ010,BLJ011,BLJ012,BLJ013,BLJ014,BLJ015,BLK001,BLK002,BLK003,BLK004,BLK005,BLK006,BLK007,BLK008,BLK009,BLK010,BLK011,BLK012,BLL001,BLM001,BLM002,BLM003,BLN001,BLN002,BLN003,BLN004,BLN005,BLN006,BLN007,BLN008,BLN009,BLN010,BLN011,BK7001,BK7002,BK7003,BK7004,BK7005,BK7006,BK7007,BK7008,BK7009,BK7010,BK7011,BK8001,BLA001,BLB001,BLB002,BLB003,BLC001,BLD001,BLE001,BLE002,BLE003,BLE004,BLE005,BLE006
"G3900350CC0040","1930","Ohio","39","Cuyahoga","035","CC","0040",,"Tract  CC0040     in Cleveland OH Area",,158,125,61,31,30,64,33,0,10,4,10,4,7,7,6,9,2,0,3,0,1,1,0,19,30,31,13,23,16,11,4,6,2,1,2,158,110,47,1,4,9,10,10,19,26,3,2,1,1,25,4,5,10,13,5,1,0,0,0,0,9,158,158,158,0,0,1,15,0,1,0,0,0,0
"G3900350CC0041","1930","Ohio","39","Cuyahoga","035","CC","0041",,"Tract  CC0041     in Cleveland OH Area",,101,87,37,23,14,50,14,0,1,1,2,7,17,4,7,2,3,0,3,0,3,0,0,10,19,18,13,7,11,9,5,6,1,1,1,101,67,34,0,1,5,2,7,19,11,2,2,0,1,17,2,4,3,10,5,0,0,0,0,0,10,101,101,101,0,0,0,0,0,0,0,0,0,0
"G3900350CC0042","1930","Ohio","39","Cuyahoga","035","CC","0042",,"Tract  CC0042     in Cleveland OH Area",,65,65,43,19,24,22,0,0,1,0,2,0,5,1,2,2,0,0,4,0,2,1,2,3,16,11,11,9,7,5,2,0,1,0,0,65,44,21,0,0,2,0,0,2,5,2,7,3,7,16,0,0,0,9,7,2,0,0,0,0,3,65,65,65,0,0,0,0,0,0,0,0,0,0
"G3900350CC0043","1930","Ohio","39","Cuyahoga","035","CC","0043",,"Tract  CC0043     in Cleveland OH Area",,81,81,61,45,16,20,0,0,5,0,5,0,0,0,0,0,0,0,2,0,3,1,4,2,22,15,14,10,11,3,3,1,0,0,0,81,55,23,3,0,0,0,0,7,12,13,8,1,6,8,0,0,2,10,8,1,0,0,0,0,2,81,79,77,2,0,0,0,0,0,0,0,0,0
"G3900350CC0044","1930","Ohio","39","Cuyahoga","035","CC","0044",,"Tract  CC0044     in Cleveland OH Area",,651,648,463,300,163,185,3,0,60,1,19,2,11,2,8,3,2,2,9,0,21,20,25,24,141,123,163,90,56,32,11,7,2,1,1,651,450,194,7,0,7,10,44,123,169,50,18,12,12,5,0,7,17,56,96,14,1,1,0,1,1,651,642,633,9,0,0,0,0,0,0,0,0,0
"G3900350CC0045","1930","Ohio","39","Cuyahoga","035","CC","0045",,"Tract  CC0045     in Cleveland OH Area",,144,142,94,69,25,48,2,0,16,7,5,0,0,4,1,1,0,0,0,0,2,3,9,7,38,35,30,16,10,5,1,2,0,0,0,144,74,64,6,0,0,0,0,4,11,5,12,4,30,8,1,0,2,13,24,7,1,2,0,0,14,144,139,135,3,1,0,0,0,0,0,0,0,0
"G3900350CC0046","1930","Ohio","39","Cuyahoga","035","CC","0046",,"Tract  CC0046     in Cleveland OH Area",,47,47,31,16,15,16,0,0,3,0,1,0,2,0,5,0,0,0,3,0,2,0,0,4,9,15,9,3,4,2,0,1,0,0,0,47,14,33,0,0,0,0,0,1,1,2,3,0,7,0,0,1,2,12,12,4,0,0,0,1,1,47,45,43,2,0,2,30,0,2,0,0,0,0
"G3900350CC0047","1930","Ohio","39","Cuyahoga","035","CC","0047",,"Tract  CC0047     in Cleveland OH Area",,87,86,42,33,9,44,1,0,27,1,3,1,1,0,5,0,0,0,2,0,1,0,3,14,17,18,17,12,5,2,1,1,0,0,0,87,8,74,5,0,0,0,0,1,0,0,0,0,5,2,0,0,3,14,40,10,0,0,0,0,7,87,85,83,2,0,2,37,0,2,0,0,0,0
"G3900350CC0048","1930","Ohio","39","Cuyahoga","035","CC","0048",,"Tract  CC0048     in Cleveland OH Area",,163,155,89,38,51,66,8,0,8,0,10,1,15,0,17,0,2,0,3,0,0,3,7,10,38,30,33,24,9,9,5,3,0,1,1,163,103,58,2,1,0,2,7,11,34,6,16,8,9,9,1,3,5,20,18,3,0,1,0,0,7,163,163,163,0,0,3,146,0,2,0,1,0,0
"G3900350CC0049","1930","Ohio","39","Cuyahoga","035","CC","0049",,"Tract  CC0049     in Cleveland OH Area",,57,57,26,11,15,31,0,0,3,0,1,1,19,0,4,0,0,0,1,0,0,2,0,6,8,10,9,8,6,2,4,3,1,0,0,57,37,20,0,1,0,0,1,1,2,4,7,6,4,11,0,1,1,12,3,1,0,0,0,0,2,57,57,57,0,0,0,0,0,0,0,0,0,0
"G3900350CC0050","1930","Ohio","39","Cuyahoga","035","CC","0050",,"Tract  CC0050     in Cleveland OH Area",,270,269,191,111,80,78,1,0,6,6,10,3,15,5,8,0,2,1,5,0,5,4,8,36,67,56,36,39,21,6,2,3,4,0,0,270,161,104,5,4,5,5,18,16,27,10,16,6,8,46,8,6,4,12,18,7,1,0,1,0,47,270,266,263,2,1,0,0,0,0,0,0,0,0
"G3900350CC0051","1930","Ohio","39","Cuyahoga","035","CC","0051",,"Tract  CC0051     in Cleveland OH Area",,54,54,44,27,17,10,0,0,1,0,3,0,2,1,1,0,1,0,0,0,0,0,1,0,12,15,16,4,5,1,0,1,0,0,0,54,12,42,0,0,0,0,1,1,3,0,0,0,0,7,24,10,2,0,0,0,0,0,0,0,6,54,53,52,1,0,0,0,0,0,0,0,0,0
"G3900350CC0052","1930","Ohio","39","Cuyahoga","035","CC","0052",,"Tract  CC0052     in Cleveland OH Area",,35,32,26,15,11,6,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,12,10,5,5,2,0,0,0,0,0,0,35,21,14,0,0,0,0,0,0,1,1,3,4,8,4,0,2,2,4,1,2,0,0,0,0,3,35,33,31,2,0,0,0,0,0,0,0,0,0
"G3900350CC0053","1930","Ohio","39","Cuyahoga","035","CC","0053",,"Tract  CC0053     in Cleveland OH Area",,22,22,17,10,7,5,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,6,5,6,2,0,1,1,0,0,0,0,22,14,8,0,0,0,0,0,0,0,1,0,2,8,3,0,0,0,4,1,0,0,0,0,0,3,22,22,22,0,0,0,0,0,0,0,0,0,0
"G3900350CC0054","1930","Ohio","39","Cuyahoga","035","CC","0054",,"Tract  CC0054     in Cleveland OH Area",,7,7,5,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,7,3,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,7,7,7,0,0,0,0,0,0,0,0,0,0
"G3900350CC0055","1930","Ohio","39","Cuyahoga","035","CC","0055",,"Tract  CC0055     in Cleveland OH Area","Includes tracts CC0055 CC0056",777,776,661,483,178,115,1,0,58,1,4,4,14,5,4,0,0,0,1,0,0,7,17,75,213,172,156,73,45,24,11,4,2,2,0,777,498,276,3,0,0,1,18,81,182,81,72,34,23,6,2,6,13,65,170,15,0,1,0,0,4,777,752,728,23,1,0,0,0,0,0,0,0,0
"G3900350EU0001","1930","Ohio","39","Cuyahoga","035","EU","0001",,"Tract  EU0001     in Cleveland OH Area",,697,695,491,345,146,204,2,0,33,9,24,4,3,21,3,12,6,2,1,0,65,11,10,8,137,155,181,99,44,28,20,9,10,5,1,697,504,182,11,2,1,1,5,47,114,121,144,42,27,0,0,0,1,10,94,58,17,0,0,0,2,697,692,687,5,0,0,0,0,0,0,0,0,0
"G3900350EU0002","1930","Ohio","39","Cuyahoga","035","EU","0002",,"Tract  EU0002     in Cleveland OH Area",,306,306,250,145,105,56,0,0,20,1,9,3,3,0,0,6,0,0,0,0,1,10,3,13,80,74,76,35,16,6,5,0,0,1,0,306,202,100,4,2,1,3,8,33,58,40,39,3,12,3,0,0,1,18,37,37,3,1,0,1,2,306,301,296,5,0,0,0,0,0,0,0,0,0
"G3900350EU0003","1930","Ohio","39","Cuyahoga","035","EU","0003",,"Tract  EU0003     in Cleveland OH Area",,300,298,236,129,107,62,2,0,13,0,12,1,3,1,2,7,0,0,2,0,0,11,10,4,85,65,68,43,20,8,4,3,0,0,0,300,228,72,0,0,1,2,11,29,51,52,50,13,16,3,1,2,4,8,30,16,6,3,2,0,0,300,299,298,1,0,0,0,0,0,0,0,0,0
"G3900350EU0004","1930","Ohio","39","Cuyahoga","035","EU","0004",,"Tract  EU0004     in Cleveland OH Area",,582,579,318,171,147,261,3,0,34,5,25,11,9,4,7,92,2,9,9,2,14,8,30,8,124,115,151,102,43,20,12,5,2,0,0,582,441,141,0,0,0,1,12,86,207,114,12,6,3,0,0,0,0,15,92,33,1,0,0,0,0,582,557,537,18,2,0,0,0,0,0,0,0,0
"G3900350EU0005","1930","Ohio","39","Cuyahoga","035","EU","0005",,"Tract  EU0005     in Cleveland OH Area",,609,607,162,76,86,445,2,0,11,2,16,6,20,2,3,317,1,6,7,1,40,1,12,21,64,109,139,96,96,35,33,10,4,1,1,609,395,212,2,0,5,5,21,83,191,72,13,4,1,0,2,2,10,54,131,12,0,1,0,0,0,609,609,609,0,0,0,0,0,0,0,0,0,0
"G3900350EU0006","1930","Ohio","39","Cuyahoga","035","EU","0006",,"Tract  EU0006     in Cleveland OH Area",,276,274,198,116,82,76,2,0,14,2,18,4,1,0,0,6,0,7,0,0,6,9,9,10,65,71,57,44,17,6,3,3,0,0,0,276,166,109,1,0,1,0,6,16,48,31,28,9,26,1,0,2,1,12,60,29,3,0,0,0,2,276,263,253,8,2,3,77,0,0,1,2,0,0
"G3900350EU0007","1930","Ohio","39","Cuyahoga","035","EU","0007",,"Tract  EU0007     in Cleveland OH Area",,344,344,269,168,101,75,0,0,20,2,12,0,2,2,1,10,0,0,5,1,4,6,10,10,74,91,95,37,22,8,6,1,0,0,0,344,207,136,1,0,0,0,0,2,36,78,66,14,9,2,0,1,2,9,65,44,8,1,0,0,6,344,323,304,18,1,1,32,0,0,0,1,0,0
